"","Station","avconc","sdconc","avpercent","sdpercent","avgrazing","sdgrazing","avbac","sdbac","avloggrazing","sdloggrazing","avnanoBR","sdnanoBR","Cruise","Depth","Method.x","microscopepercent","sdmicroscopepercent","Method.y","microscopeGR"
"1","1",NA,NA,NA,NA,NA,NA,1658391.93247436,0,NA,NA,NA,NA,"North East Shelf","DCM","fcm",1.965,NA,"Microscopy",32.5874014731212
"2","1",NA,NA,NA,NA,NA,NA,1389463.77361462,0,NA,NA,NA,NA,"North East Shelf","Surface","fcm",27.88823404,NA,"Microscopy",387.496909086662
"3","2",162.704826467726,70.238000171903,2.50733224900031,1.08238954405717,0.240454579557335,0.103801768926831,959005.650939183,0,-0.640205924494929,0.193652393121246,42.7685349721094,33.7780976005659,"North East Shelf","DCM","fcm",1.870169492,NA,"Microscopy",17.9350311104206
"4","2",191.089161515202,125.823481633913,4.69538340663377,2.64877070769832,0.476811416536028,0.268551593058735,1035818.63832543,100783.183489719,-0.411628008964817,0.370814457578968,113.76961547432,104.221137984802,"North East Shelf","Surface","fcm",7.3109243695,3.80292722690008,"Microscopy",75.7279172531568
"5","4",49.4041519904695,145.152229584281,0.909725163982289,3.05649683647652,0.114089581275612,0.441223591021992,1393880.69752524,119075.865320064,NA,NA,53.2864225412117,32.4122656200252,"North East Shelf","DCM","fcm",0.9523809524,NA,"Microscopy",13.2750542624107
"6","4",NA,NA,NA,NA,NA,NA,846114.625725428,100156.175557103,NA,NA,NA,NA,"North East Shelf","Surface","fcm",10.2272727265,11.2494260628529,"Microscopy",86.5344503517442
"7","7",24.7932983613683,78.6137070853704,0.535018149607562,1.74869403137702,0.0937064744562026,0.298728307486946,1610499.1859234,121503.84492955,NA,NA,19.9363335803603,37.3499501690643,"North East Shelf","DCM","fcm",5.990201465,4.32720858632633,"Microscopy",96.4721458289964
"8","7",74.2422313415348,113.933912756738,2.70790782382226,4.83147667347481,0.268081360161134,0.504001393239309,1079787.26737076,70104.3448422233,NA,NA,62.7932071900691,72.6897108037216,"North East Shelf","Surface","fcm",7.649667406,NA,"Microscopy",82.6001346461993
"9","9",109.753504336949,43.6348862573847,7.77329456612384,2.54558976219245,0.920139988373986,0.30442178319299,1182403.06009616,43124.7134615014,-0.0555927170190118,0.153159977634156,108.279559081548,69.8752117212334,"North East Shelf","Surface","fcm",43.10344828,NA,"Microscopy",509.656491469685
"10","X",254.822134298214,59.4724136540511,8.96452218218113,2.0922113885353,1.7332217063668,0.404513048127111,1933423.41191585,0,0.232858095158038,0.102294601457461,453.691938091719,206.157756550453,"North East Shelf","DCM","fcm",0.6944444444,NA,"Microscopy",13.4265514707786
"11","X",240.576984989923,280.588387337277,22.2509041638211,25.9515485921663,2.19019909934167,2.5544606158298,984319.146411513,0,0.092960460509668,0.719434052178115,885.2874882034,1229.08886646367,"North East Shelf","Surface","fcm",NA,NA,NA,NA
"12","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"North East Shelf","Surface","fcm",NA,NA,NA,NA
"13","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"North East Shelf","Surface","fcm",NA,NA,NA,NA
